"EH_ID","primary_infection","challenge_infection","Parasite_challenge","infection_history","mouse_strain","max_WL","delta","hybrid_status","IFNy","CXCR3_bio","IL.6","IL.10","IL.13","IL1RN","CASP1","CXCL9","IDO1","IRGM1","MPO","MUC2","MUC5AC","MYD88","NCR1","PRF1","RETNLB","SOCS1","TICAM1","TNF"
"LM0284","E64","E64","E_ferrisi","ferrisi_ferrisi","STRA_BUSNA",97.7221974095578,-6.19,"F1 hybrid",NA,21.32868,21.65526,NA,NA,17.83004,22.53197,17.26648,15.929076,8.95885,NA,7.63272,8.440455,19.80791,24.18657,29.51591,9.22577,9.632405,17.44476,21.63822
"LM0285","E64","E64","E_ferrisi","ferrisi_ferrisi","PWD_PWD",97.2722593926917,-3.11,"F0 M. m. musculus",17.72261,18.706,17.79219,18.49236,NA,14.68719,24.20202,12.21244,9.754557,9.836893,23.37686,9.851718,11.585622,14.407068,19.93898,20.38618,4.346449,11.657992,15.33566,15.86004
"LM0286","E64","UNI","uninfected","ferrisi_uninfected","PWD_BUSNA",98.3219716832722,-9.21,"F1 M. m. musculus",23.9738,22.12217,21.87536,23.32834,NA,18.26465,23.79661,20.24753,19.708596,9.977461,24.92838,8.415812,8.07647,17.337172,21.63473,28.11725,9.187486,10.970666,19.30253,21.3902
"LM0287","E64","E64","E_ferrisi","ferrisi_ferrisi","BUSNA_PWD",100,-6.34,"F1 M. m. musculus",18.37035,19.16785,17.97426,19.89393,NA,15.60916,23.5915,13.56512,9.842353,9.029007,24.40325,9.316026,9.889951,13.850419,18.81508,21.15985,4.867295,11.106637,15.25927,16.1625
"LM0288","E64","UNI","uninfected","ferrisi_uninfected","PWD_BUSNA",96.2006079027356,-8.79,"F1 M. m. musculus",20.77524,18.19756,14.40759,20.83681,NA,17.24873,25.16027,16.3829,15.927925,8.049613,NA,7.56325,12.350998,11.12801,17.17266,21.54708,3.690941,10.228503,13.47368,18.09514
"LM0289","E64","UNI","uninfected","ferrisi_uninfected","SCHUNT_SCHUNT",90.1379022147932,-9.18,"F0 M. m. domesticus",23.23372,21.6454,17.73381,20.98086,NA,17.40872,20.43007,16.5579,15.251946,9.385581,27.61566,8.563067,9.972695,15.725963,21.3935,23.41759,8.189116,10.139407,15.24493,17.6527
"LM0293","E64","UNI","uninfected","ferrisi_uninfected","BUSNA_BUSNA",95.274831243973,-5.02,"F0 M. m. musculus",23.20072,20.18662,16.57967,19.05747,NA,16.32045,22.8245,17.97308,18.265865,9.486106,23.34994,7.878306,10.787435,12.493822,17.79122,25.89262,4.204721,10.569843,12.91764,17.50383
"LM0294","E64","E64","E_ferrisi","ferrisi_ferrisi","PWD_PWD",97.8260869565217,11.61,"F0 M. m. musculus",17.51103,18.2139,29.81903,18.33959,NA,13.28305,25.93133,11.98283,10.025161,8.136754,27.16886,10.834516,29.918079,13.929742,18.1199,19.92611,3.577107,10.324091,14.542,16.01331
"LM0332","Eflab","E88","E_falciformis","falciformis_falciformis","NMRI",96.2962962962963,-5.12,"other",20.05072,20.61515,23.03621,29.98877,NA,12.75221,20.43024,18.32872,16.717158,10.030781,16.37685,8.541946,8.852514,20.404963,25.36659,26.01465,10.74917,11.02476,21.19794,21.01304
"LM0333","Eflab","E64","E_ferrisi","falciformis_ferrisi","NMRI",91,-4.27,"other",22.18927,21.00294,23.67766,24.20689,NA,15.08824,20.90917,21.96734,18.171699,9.531294,15.92918,7.957801,8.211709,24.785884,26.75319,27.09819,9.755923,10.47827,22.50241,21.56508
"LM0334","Eflab","UNI","uninfected","falciformis_uninfected","NMRI",95.3488372093023,-4.94,"other",19.17606,20.65725,21.54047,23.25961,NA,11.65156,22.92319,16.90758,12.292333,11.168791,17.07884,8.345124,10.313463,15.319679,24.26265,27.12899,10.841208,12.98907,16.99448,20.03119
"LM0335","E88","UNI","uninfected","falciformis_uninfected","NMRI",97.0212765957447,-5.57,"other",24.47713,21.31698,26.71171,25.52867,NA,13.83283,21.43852,22.16466,18.373123,9.56363,16.38449,8.132526,8.57292,23.240718,27.48604,27.18535,9.478791,10.607035,21.82549,21.98348
"LM0336","E88","E64","E_ferrisi","falciformis_ferrisi","NMRI",83.7476099426386,-4.02,"other",18.02613,20.20715,24.37765,22.34004,NA,11.97324,21.03117,16.66383,11.993194,11.57639,17.15236,10.280913,10.532018,18.139879,26.70705,25.41207,12.030827,13.123553,21.09282,21.07389
"LM0340","E64","UNI","uninfected","ferrisi_uninfected","NMRI",92.7238805970149,-10.49,"other",20.88908,18.40655,21.0728,21.44767,NA,11.82725,21.70017,15.42738,12.523361,9.928879,16.55492,8.291121,9.120236,13.839477,20.19892,21.79024,9.145387,10.833533,15.29784,19.0125
"LM0342","E139","E64","E_ferrisi","ferrisi_ferrisi","NMRI",83.6330935251799,-6.11,"other",20.9364,20.89049,23.48067,22.36207,NA,11.85427,21.44578,16.72246,13.721075,10.479662,16.32184,8.641474,8.817069,19.929199,25.5346,26.41866,9.278296,11.303618,21.34152,21.31616
"LM0343","E139","UNI","uninfected","ferrisi_uninfected","NMRI",93.6283185840708,-8.44,"other",23.41244,21.14188,NA,23.6072,NA,13.10425,25.34167,18.64811,15.843818,10.788702,17.07038,9.42826,9.364003,18.078884,26.75811,25.29939,9.923647,11.828319,19.0667,21.78523
"LM0344","UNI","E88","E_falciformis","uninfected_falciformis","NMRI",96.0905349794239,-8.06,"other",24.76847,21.95768,22.34438,26.11948,NA,15.37061,21.28205,22.49707,18.930756,8.050492,16.71614,7.611355,7.888725,20.99539,23.38357,NA,8.262385,8.890513,20.80948,23.70044
"LM0345","UNI","E64","E_ferrisi","uninfected_ferrisi","NMRI",89.1891891891892,-4.38,"other",19.99699,18.21933,25.24031,20.51353,NA,12.28923,22.26009,15.25164,11.803676,10.108555,16.5717,9.364101,9.848285,15.544608,22.9346,25.11673,9.047844,11.867247,16.30778,18.36694
"LM0346","UNI","UNI","uninfected","uninfected","NMRI",92.8571428571428,-8.74,"other",22.60203,24.65157,23.53264,23.43752,NA,11.43627,25.73564,20.65578,12.237259,11.398526,16.60661,9.628627,9.639826,19.190942,23.87387,28.88317,9.635853,12.837053,19.15818,22.8958
"LM0347","E88","E88","E_falciformis","falciformis_falciformis","NMRI",87.4095513748191,-8.73,"other",25.84433,23.52242,27.13311,NA,NA,11.27634,21.9273,18.51135,13.708155,10.256888,16.3916,9.063478,9.058345,20.478204,26.2659,23.85662,9.703631,11.627023,21.52452,22.65241
"LM0352","E64","E88","E_falciformis","ferrisi_falciformis","NMRI",92.4264007597341,3.95306666666666,"other",25.35428,22.91576,25.39795,28.87344,NA,16.7565,22.16068,23.45426,21.459525,7.149357,25.63594,6.211322,10.154484,24.906656,27.00035,NA,18.572389,8.318661,29.57724,23.13135
"LM0353","E64","E88","E_falciformis","ferrisi_falciformis","NMRI",92.3392612859097,3.20803333333334,"other",25.11981,25.66519,NA,NA,NA,19.70521,26.08998,19.96006,20.724537,9.016223,NA,9.246984,14.123916,24.948713,NA,NA,17.913556,10.084373,25.58661,NA
"LM0354","E64","E64","E_ferrisi","ferrisi_ferrisi","NMRI",95.2220888355342,-7.57086666666667,"other",NA,24.22064,NA,28.05381,NA,19.23186,27.75083,23.07473,27.169505,8.986193,27.97227,8.883982,23.694956,27.782637,25.83862,27.59474,20.897073,9.482244,24.73153,27.59754
"LM0355","E64","UNI","uninfected","ferrisi_uninfected","NMRI",100,-5.20748333333334,"other",NA,22.86653,23.56129,25.0175,NA,18.03112,21.69953,24.188,22.517576,8.74704,26.39468,7.865111,9.540464,19.913584,29.07498,NA,16.332964,9.665532,21.42768,23.91542
"LM0356","E88","E88","E_falciformis","falciformis_falciformis","NMRI",94.9924887330996,-7.3878,"other",29.09622,22.76071,NA,27.95595,NA,15.84708,23.58463,23.33492,22.130637,9.505613,20.34651,9.117813,10.210623,25.644537,26.89351,NA,9.493187,11.330597,26.12898,26.67485
"LM0357","E88","E88","E_falciformis","falciformis_falciformis","NMRI",84.4246959775491,-4.1202,"other",NA,23.52785,29.95433,28.18004,NA,23.13962,NA,22.51919,24.36243,7.028294,NA,9.24962,25.681823,23.705403,NA,NA,14.714598,8.041715,24.1052,28.93255
"LM0358","E88","E64","E_ferrisi","falciformis_ferrisi","NMRI",87.6811594202899,-5.42953333333333,"other",NA,22.75096,NA,25.69999,NA,17.58811,23.01611,24.12845,22.36482,7.679259,28.01318,7.529806,12.495365,24.056632,25.8856,25.43324,20.720319,7.087203,26.26861,27.69078
"LM0359","E88","UNI","uninfected","falciformis_uninfected","NMRI",97.3171889838557,-8.60266666666667,"other",NA,21.48844,22.6056,29.13131,NA,18.63039,20.75492,22.14808,21.229097,8.823074,NA,7.071763,8.979468,18.841489,26.76586,NA,10.975465,9.162248,19.60484,29.13404
"LM0361","Eflab","E88","E_falciformis","falciformis_falciformis","NMRI",82.0227325446532,-4.80946666666667,"other",NA,25.80037,29.77186,29.09962,NA,20.02498,26.9151,23.73669,26.746953,10.566932,NA,10.301982,15.246147,24.071985,NA,NA,22.021335,13.581984,NA,28.37664
"LM0363","Eflab","UNI","uninfected","falciformis_uninfected","NMRI",96.3813500347947,-8.59073333333333,"other",28.38656,21.03955,26.23716,26.44454,NA,16.61041,22.3092,20.71644,20.531902,8.015308,26.53156,6.875894,15.616582,18.82436,24.66802,26.78273,13.342864,8.919463,19.84097,25.19713
"LM0364","UNI","E88","E_falciformis","uninfected_falciformis","NMRI",81.9094404100812,4.01653333333333,"other",24.85421,21.52073,27.46334,24.91564,NA,17.10527,24.02626,18.86451,21.448918,7.324264,27.47612,6.62693,13.267206,25.219254,NA,26.69613,20.08306,7.158283,23.30618,28.17372
"LM0365","UNI","E88","E_falciformis","uninfected_falciformis","NMRI",77.9348311263205,1.439,"other",26.40918,22.66652,18.92939,25.56209,NA,18.86001,24.83386,16.34429,22.097978,7.79677,NA,8.052046,18.066238,24.484515,24.82501,28.62742,22.004654,8.871887,23.7425,28.31769
"LM0366","UNI","E64","E_ferrisi","uninfected_ferrisi","NMRI",84.2160351685158,2.18866753084627,"other",21.39121,21.81679,20.56615,26.30993,NA,12.25711,21.65407,13.14677,13.300336,10.259382,16.46249,8.504597,8.874519,20.875416,24.39808,26.19344,9.526062,11.755902,21.52548,20.79691
"LM0367","UNI","UNI","uninfected","uninfected","NMRI",93.9237899073121,-7.04906666666666,"other",NA,22.67323,26.18491,27.22396,NA,20.08638,25.34344,23.74179,25.029717,9.255368,NA,8.579815,29.113148,28.078962,27.33835,28.89657,18.031914,9.895583,25.98677,NA
"LM0368","E64","E64","E_ferrisi","ferrisi_ferrisi","SCHUNT_SCHUNT",92.7007299270073,-6.17790447050866,"F0 M. m. domesticus",NA,23.4689,22.68031,23.16663,NA,18.06204,22.36512,19.8827,20.563533,10.008556,NA,8.371019,9.336553,24.674035,25.71248,29.79103,15.178442,10.393341,22.46358,27.50077
