"EH_ID","primary_infection","challenge_infection","Parasite_challenge","infection_history","mouse_strain","max_WL","delta","hybrid_status","IFNy","CXCR3_bio","IL.6","IL.10","IL.13","IL1RN","CASP1","CXCL9","IDO1","IRGM1","MPO","MUC2","MUC5AC","MYD88","NCR1","PRF1","RETNLB","SOCS1","TICAM1","TNF"
"LM0400","E64","E64","E_ferrisi","ferrisi_ferrisi","SCHUNT_SCHUNT",95.2908587257618,-4.81833506876557,"F0 M. m. domesticus",22.86852,20.6817,26.84019,24.26723,19.69519,17.50911,20.48537,18.70781,14.946433,8.839694,19.82217,7.487277,8.125193,8.844189,23.92244,25.49845,9.999622,9.756697,21.55859,21.56077
"LM0401","UNI","UNI","uninfected","uninfected","SCHUNT_SCHUNT",97.5910064239829,NA,"F0 M. m. domesticus",NA,18.547,NA,23.37539,20.64206,17.68361,21.37431,24.86841,19.502043,9.457993,18.2834,8.07141,8.206934,9.252441,25.46251,26.64396,9.906633,10.453336,22.37117,22.84888
"LM0402","UNI","E64","E_ferrisi","uninfected_ferrisi","SCHUNT_SCHUNT",83.6875926841325,-5.8576836446198,"F0 M. m. domesticus",21.71419,20.46746,18.96176,24.7614,17.74507,17.02771,20.42448,15.35375,14.252057,9.304423,23.43023,7.997043,9.088218,9.269372,22.09169,28.07379,9.665312,9.605007,20.07661,20.12716
"LM0404","E64","E64","E_ferrisi","ferrisi_ferrisi","PWD_PWD",88.2644628099173,-0.895232759794368,"F0 M. m. musculus",20.35299,19.20522,21.60006,22.75786,19.52374,19.51251,20.75696,18.79592,16.97043,8.739251,20.15552,9.256436,10.444694,10.81431,26.34456,23.49281,9.661908,9.225406,21.56845,22.03168
"LM0406","UNI","E88","E_falciformis","uninfected_falciformis","SCHUNT_SCHUNT",77.0053475935829,3.83399124815707,"F0 M. m. domesticus",20.42732,21.53098,18.24249,22.16032,17.34487,13.69251,24.61451,14.09206,12.763815,12.235026,19.78562,11.179115,11.697763,12.527439,24.33736,23.94627,12.576263,12.86741,20.08692,20.3209
"LM0407","UNI","E64","E_ferrisi","uninfected_ferrisi","SCHUNT_SCHUNT",92.0159680638723,-9.65220398233476,"F0 M. m. domesticus",23.84323,20.54109,26.92355,21.56791,22.61048,20.0526,24.82729,18.86993,17.037959,10.412347,19.15029,9.342203,9.990472,11.061339,NA,24.18033,11.724569,10.427714,27.52816,26.40631
"LM0408","E64","E88","E_falciformis","ferrisi_falciformis","PWD_PWD",77.8048780487805,6.61128322944637,"F0 M. m. musculus",18.55228,20.32615,23.60529,21.8361,16.52889,15.60828,20.62177,13.72277,12.100585,8.635025,19.64736,7.290007,8.052774,8.988102,26.30723,23.92448,7.985537,9.284697,19.19948,18.33022
"LM0410","E64","E64","E_ferrisi","ferrisi_ferrisi","PWD_PWD",89.0064667842446,-8.52642175811008,"F0 M. m. musculus",20.6422,20.58743,22.64934,21.05282,15.64012,15.78011,21.04427,14.14905,14.815813,9.722631,18.87126,8.935368,10.212263,10.25608,NA,28.09646,5.846103,10.089456,18.04099,19.42994
"LM0411","E64","E88","E_falciformis","ferrisi_falciformis","PWD_PWD",83.2727272727273,3.58310722268937,"F0 M. m. musculus",17.50713,21.30977,24.81393,20.53981,15.96387,15.62994,22.11439,14.05901,11.611228,8.832139,17.72639,7.722895,8.278575,9.471053,26.67078,22.17432,8.544338,9.708748,19.40001,18.85483
"LM0412","UNI","E64","E_ferrisi","uninfected_ferrisi","SCHUNT_SCHUNT",78.1105169340463,5.36599735143947,"F0 M. m. domesticus",19.2663,24.78347,20.20337,23.52439,19.78487,14.97696,22.93029,16.14029,14.976568,10.745571,18.11004,9.538819,10.048293,10.673092,NA,25.97794,11.387807,11.285548,22.13123,21.26313
"LM0413","E64","UNI","uninfected","ferrisi_uninfected","SCHUNT_SCHUNT",95.7781050564556,-7.9430189889161,"F0 M. m. domesticus",NA,22.77867,25.05195,NA,23.1012,20.213,25.5755,21.90772,20.337306,10.781881,19.84596,9.299197,9.821379,10.803154,24.9969,NA,10.488427,11.445105,22.62902,25.72357
"LM0417","E64","E88","E_falciformis","ferrisi_falciformis","SCHUNT_SCHUNT",75.3319919517103,4.8236460523187,"F0 M. m. domesticus",18.17334,20.05828,17.73281,19.67574,14.96183,14.9115,20.39827,12.879,11.674964,8.890484,21.49815,8.237312,8.762589,9.752521,NA,22.26847,10.541307,9.678177,16.57747,17.42194
"LM0420","E88","E88","E_falciformis","falciformis_falciformis","SCHUNT_SCHUNT",90.3157894736842,-0.231707159876766,"F0 M. m. domesticus",17.62484,20.06144,19.48198,22.33842,15.8402,15.91221,20.98834,11.55303,11.659147,9.496184,20.0541,7.969417,8.572635,9.429172,23.67079,24.50357,8.477857,10.166476,17.26136,17.46136
"LM0421","UNI","E64","E_ferrisi","uninfected_ferrisi","PWD_PWD",80.7466666666667,2.8147414754045,"F0 M. m. musculus",17.52305,21.33039,19.22344,21.16372,16.83008,12.50428,22.24713,15.30404,11.142649,11.492399,18.39825,10.125236,10.724162,11.321831,19.99873,23.04488,10.740533,11.86101,20.43164,17.80555
"LM0422","E64","E88","E_falciformis","ferrisi_falciformis","PWD_PWD",73.4459459459459,6.81736431564327,"F0 M. m. musculus",15.71529,21.08006,18.49392,19.74151,15.73607,12.83904,21.46682,13.54572,11.447434,10.48136,18.73255,9.916628,10.691091,11.307609,29.54948,22.51975,10.484425,12.108359,20.85134,16.34527
"LM0424","E64","UNI","uninfected","ferrisi_uninfected","PWD_PWD",94.0901111761264,-9.8561884622146,"F0 M. m. musculus",25.05199,18.95654,21.82732,26.77299,21.41995,19.69194,20.78469,25.69238,20.921377,9.314263,19.0252,8.686559,9.464939,10.506455,23.17187,25.18772,11.220518,9.548208,22.43535,22.25967
"LM0425","UNI","UNI","uninfected","uninfected","PWD_PWD",97.1783295711061,NA,"F0 M. m. musculus",NA,20.2486,28.76398,23.93211,21.10862,20.95269,21.23007,25.3477,20.689122,8.418992,24.76759,7.942093,9.095062,9.772552,21.21622,24.28532,10.960531,8.968065,23.16068,23.48999
"LM0426","E88","UNI","uninfected","falciformis_uninfected","SCHUNT_SCHUNT",98.9189189189189,-0.640594900906464,"F0 M. m. domesticus",25.39302,19.01495,26.92797,23.32124,20.67509,18.21358,20.67898,25.74388,20.553644,8.419839,21.413,6.748056,7.525599,8.790171,22.99591,24.24964,10.019037,8.531568,21.37614,20.82249
"LM0428","E88","E64","E_ferrisi","falciformis_ferrisi","SCHUNT_SCHUNT",87.3678912934071,-8.79139222871207,"F0 M. m. domesticus",21.16589,22.14929,22.0947,24.41267,16.81424,17.08754,20.84055,15.14489,15.490731,9.344918,21.30055,7.847138,8.507111,9.580745,25.42788,NA,8.590075,8.871211,17.57769,19.73392
"LM0429","E88","E64","E_ferrisi","falciformis_ferrisi","PWD_PWD",80.4709936817921,3.96151293841837,"F0 M. m. musculus",16.93482,23.41073,17.46569,19.79551,14.49658,13.13472,25.08039,12.2639,8.769283,10.1136,19.62256,10.336654,11.690665,10.79874,23.75737,20.88617,6.92789,13.408973,17.53509,16.578
"LM0430","UNI","UNI","uninfected","uninfected","SCHUNT_SCHUNT",94.557540506855,NA,"F0 M. m. domesticus",NA,18.84797,25.09494,24.87735,20.31023,15.62935,20.16156,20.93232,18.051913,9.677846,16.56573,7.916451,8.172702,9.524207,26.10599,28.46406,10.098975,10.393635,23.04097,22.15808
"LM0431","E64","E64","E_ferrisi","ferrisi_ferrisi","SCHUNT_SCHUNT",88.3937823834197,-5.9558401852755,"F0 M. m. domesticus",22.02264,21.05519,27.11805,23.21401,20.25871,18.4059,21.07134,17.73318,16.366598,8.701905,20.94546,7.665722,8.340444,9.444841,24.42321,27.33021,10.388094,8.474758,19.93831,21.28205
